UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;GUABIRUBA;20571;10905;0;413;54;1751;957;0;8;38;3914;1625;34;0;344;62;0;14;0;5;0;447
SC;GUARACIABA;8889;4789;0;345;153;1211;337;0;0;21;1295;190;54;0;155;223;1;7;0;1;0;107
SC;GUARAMIRIM;37368;20040;0;1405;493;2859;1372;0;20;37;6669;1835;31;0;1191;856;5;40;0;25;2;488
SC;GUARUJA DO SUL;4265;2215;0;178;108;497;122;0;0;18;755;110;19;0;58;132;2;4;0;0;0;47
SC;GUATAMBU;5974;2904;0;175;40;657;180;0;1;20;1379;333;33;0;130;54;0;1;0;1;0;66
SC;HERVAL D'OESTE;17281;9503;0;425;43;1328;632;2;4;50;3115;1654;67;0;254;48;2;7;0;4;2;141
SC;IBIAM;1766;871;0;96;44;230;37;0;0;6;356;30;14;0;36;41;0;0;0;0;0;5
SC;IBICARE;3397;1616;0;205;168;396;92;0;0;20;507;102;14;0;62;187;0;1;0;2;2;23
SC;IBIRAMA;18125;9785;0;560;153;1537;746;0;6;72;3112;933;114;0;632;201;2;22;0;20;1;229
SC;ICARA;57965;30253;0;2260;999;4335;2275;1;31;125;9790;2410;169;0;2193;1673;1;82;0;36;8;1324
SC;ILHOTA;13142;6660;0;491;226;1028;453;0;7;27;2485;720;31;0;448;421;0;12;0;8;3;122
SC;IMARUI;8225;3892;0;196;26;666;290;0;3;44;2138;598;47;0;171;38;1;18;0;5;6;86
SC;IMBITUBA;44482;22276;0;769;685;2979;2312;0;94;102;8546;2448;131;1;1544;1312;6;98;0;41;7;1131
SC;IMBUIA;5957;3006;0;261;128;755;187;0;0;11;937;262;26;0;198;132;0;5;0;1;0;48
